distbin,District,purpose,value
11,2: Central,School,3717.0
11,3: North City,School,4087.0
11,4: South Suburban,School,460.0
11,5: East Suburban,School,2928.0
11,6: North County West,School,1803.0
11,7: North County East,School,3344.0
11,8: East County,School,283.0
12,1: Downtown,School,279.0
12,2: Central,School,4001.0
12,3: North City,School,3744.0
12,4: South Suburban,School,388.0
12,5: East Suburban,School,2965.0
12,6: North County West,School,1803.0
12,7: North County East,School,3163.0
12,8: East County,School,298.0
13,1: Downtown,School,368.0
13,2: Central,School,3775.0
13,3: North City,School,4057.0
13,4: South Suburban,School,472.0
13,5: East Suburban,School,2930.0
13,6: North County West,School,1620.0
13,7: North County East,School,2791.0
